official,P07,NP,NP,1,False=(1.0, 'DUMMY', 1.0)
defend,Nv1,Ncb,NP,-1,False=(1.0, 'property', 1.0)
fill,VC33,P61,VP,1,False=(1.0, 'location', 1.0)
try,VF1,NP,VP,-1,False=(1.0, 'manner', 1.0)
tool,P02,NP,PP,1,True=(1.0, 'DUMMY', 217.0)
city,Nab,Nad,NP,-1,False=(1.0, 'property', 3.0)
balanced,VH16,NP,S,-1,False=(1.0, 'theme', 2.0)
thing,Nac,Nca,NP,-1,False=(1.0, 'property', 23.0)
angry,VH21,VP,VP,1,False=(1.0, 'complement', 2.0)
GoBack,VC1,VA4,S,1,False=(1.0, 'complement', 1.0)
act,VE2[+NEG],Di,VP,1,False=(1.0, 'aspect', 1.0)
forming,VG2,Dd,S,-1,False=(1.0, 'time', 6.0)
fix,VB11,Dbb,S,-1,False=(1.0, 'evaluation', 1.0)
human,VJ1,NP,S,1,False=(1.0, 'goal', 1.0)
profound,Nv4,NP,NP,-1,False=(1.0, 'theme', 3.0)
rights,Nac,Nep,NP,-1,False=(1.0, 'quantifier', 1.0)
rich,VJ3,NP,VP,1,False=(1.0, 'range', 18.0)
act,VC1,P06,S,-1,True=(0.5, 'location', 1.0)|(0.5, 'condition', 1.0)
return,VC2,P61,S,1,False=(1.0, 'duration', 1.0)
sell,VL1,Dab,S,-1,False=(1.0, 'quantity', 1.0)
disheartened,VH21,Neqa,S,-1,False=(1.0, 'quantity', 1.0)
start,VA13,Ta,S,1,False=(1.0, 'particle', 2.0)
walk,VA12,NP,S,-1,False=(1.0, 'theme', 1.0)
material,Nab,Nac,NP,-1,False=(1.0, 'property', 1.0)
wait,VK2,V좪쫆,VP,-1,False=(1.0, 'manner', 2.0)
erudite,VC2,Di,VP,1,False=(1.0, 'aspect', 1.0)
fulfil,VC31,NP,S,-1,False=(0.5, 'agent', 16.0)|(0.375, 'theme', 12.0)|(0.0625, 'time', 2.0)|(0.03125, 'topic', 1.0)|(0.03125, 'goal', 1.0)
sit,VC2,NP,VP,1,False=(1.0, 'goal', 18.0)
store,VC33,Tc,S,1,False=(1.0, 'particle', 1.0)
sit,VA12,Cbca,VP,-1,False=(0.5, 'result', 1.0)|(0.5, 'contrast', 1.0)
pant,VA4,Dbaa,S,-1,False=(1.0, 'epistemics', 1.0)
fruit,Nab,Neqa,NP,-1,False=(1.0, 'quantifier', 1.0)
organization,Naeb,Nes,NP,-1,True=(1.0, 'quantifier', 1.0)
measurement,Nad,DM,NP,1,False=(1.0, 'quantifier', 1.0)
change,VG2,NP,VP,1,False=(1.0, 'range', 1.0)
relate,VK2,P35,S,-1,False=(1.0, 'goal', 1.0)
wounded,VC2,NP,VP,-1,False=(1.0, 'goal', 1.0)
arrive,VC1,Cbba,S,-1,False=(0.3333333333333333, 'uncondition', 1.0)|(0.3333333333333333, 'reason', 1.0)|(0.3333333333333333, 'condition', 1.0)
plans,Nac,Nba,NP,-1,False=(0.6666666666666666, 'property', 2.0)|(0.3333333333333333, 'possessor', 1.0)
LocationThru,P53,NP,PP,1,False=(1.0, 'DUMMY', 2.0)
MakeLiving,VA4,P21,S,-1,False=(1.0, 'location', 1.0)
inanimate,Nab,VH13,NP,-1,False=(1.0, 'property', 2.0)
GoBackward,VA11,VH11,VP,-1,False=(1.0, 'manner', 1.0)
bring,VC32,Neqa,VP,-1,False=(1.0, 'quantity', 1.0)
method,Nad,NP좪ず,NP,-1,False=(0.5, 'property', 1.0)|(0.5, 'possessor', 1.0)
irrelevant,VH11,Cbcb,S,-1,False=(1.0, 'addition', 1.0)
place,Nac,VP좪ず,NP,-1,False=(0.7692307692307693, 'property', 10.0)|(0.23076923076923078, 'predication', 3.0)
mother,Nab,S좪ず,NP,-1,False=(1.0, 'property', 1.0)
DisadvantageValue,Nac,N좪ず,NP,-1,False=(0.625, 'property', 5.0)|(0.375, 'possessor', 3.0)
transport,VD1,Dab,S,-1,False=(1.0, 'quantity', 1.0)
ish,VE2[+NEG],Ndda,S,-1,False=(1.0, 'time', 1.0)
lose,VJ3,Ndabd,VP,-1,False=(1.0, 'time', 1.0)
meet,VA4,VH11,VP,-1,False=(1.0, 'manner', 1.0)
plant,Naa,DM,NP,-1,False=(1.0, 'quantifier', 2.0)
no-type,VC2,P26,S,-1,True=(1.0, 'agent', 1.0)
knowledge,Nac,VH11,NP,-1,False=(1.0, 'property', 14.0)
waters,Nac,NP,NP,-1,False=(1.0, 'property', 1.0)
facilities,Ncb,Neqa,NP,-1,False=(1.0, 'quantifier', 11.0)
NULL,Nv4,Neu,NP,-1,False=(1.0, 'quantifier', 1.0)
no-type,Ndabb,Ndaab,NP,-1,False=(1.0, 'property', 1.0)
help,Ncb,VJ2,NP,-1,False=(1.0, 'property', 1.0)
sad,VK1,Cbca,S,-1,False=(1.0, 'contrast', 1.0)
die,VH11,Neqa,VP,-1,False=(1.0, 'quantity', 1.0)
exist,VJ3,Nddc,S,-1,False=(1.0, 'time', 7.0)
LeaveFor,VC1,Dh,VP,-1,True=(1.0, 'manner', 1.0)
lose,VJ3,Dd,S,-1,False=(1.0, 'time', 10.0)
example,Nac,Neu,NP,1,False=(1.0, 'quantifier', 2.0)
MakeBetter,VC2,NP,S,1,False=(1.0, 'goal', 11.0)
WarmUp,VA4,Dbab,VP,-1,False=(1.0, 'deixis', 1.0)
embryo,Nab,N좪ず,NP,-1,False=(0.5, 'property', 1.0)|(0.5, 'possessor', 1.0)
no-type,V,Dc,S,-1,True=(1.0, 'negation', 1.0)
tell,VE12,Ta,S,1,False=(1.0, 'particle', 2.0)
know,VE2,Dc,VP,-1,False=(1.0, 'negation', 2.0)
open,VC2,Neqa,VP,-1,False=(1.0, 'quantity', 1.0)
tool,Nab,A좪ず,NP,-1,False=(1.0, 'property', 7.0)
building,Nac,NP,NP,-1,True=(1.0, 'property', 1.0)
build,VC33,Di,S,1,False=(1.0, 'aspect', 5.0)
lift,VA4,NP,S,-1,False=(1.0, 'agent', 5.0)
building,Nac,DM,NP,-1,True=(1.0, 'quantifier', 1.0)
study,VC2,Dc,S,-1,False=(1.0, 'negation', 4.0)
night,Ndabe,Neqa,NP,-1,False=(1.0, 'quantifier', 1.0)
dig,VC2,Di,VP,1,False=(1.0, 'aspect', 4.0)
fill,VC33,VH13,VP,-1,False=(1.0, 'manner', 1.0)
listen,VC2,Daa,VP,-1,False=(1.0, 'quantity', 1.0)
RegardAs,Nac,GP좪ず,NP,-1,False=(1.0, 'property', 1.0)
season,Ndc,Ndabb,NP,-1,False=(1.0, 'property', 2.0)
upset,Nv4,DE,NP,-1,False=(1.0, 'nominal', 2.0)
excited,Nac,DM,NP,-1,False=(1.0, 'quantifier', 1.0)
naming,VG1,Cbca,S,-1,False=(1.0, 'result', 2.0)
army,Naeb,Naeb,NP,-1,False=(1.0, 'property', 1.0)
regard,VC2,Neqa,S,-1,False=(1.0, 'quantity', 1.0)
busy,VL2,NP,S,-1,False=(1.0, 'theme', 1.0)
GoOn,VF1,P21,VP,1,False=(0.5, 'location', 1.0)|(0.5, 'condition', 1.0)
read,VC2,Cbca,S,-1,True=(1.0, 'result', 1.0)
partner,Caa,VP,VP,1,False=(1.0, 'DUMMY2', 24.0)
physical,Ng,NP,GP,-1,True=(1.0, 'DUMMY', 1.0)
seek,VD2,P21,VP,-1,False=(1.0, 'location', 1.0)
organization,Nad,NP,NP,1,False=(1.0, 'apposition', 1.0)
PayAttention,VJ1,DM,S,1,True=(1.0, 'quantity', 1.0)
return,VC2,P06,VP,-1,True=(1.0, 'instrument', 1.0)
worried,VK1,Dbab,S,-1,False=(1.0, 'deontics', 2.0)
produce,VC31,Dab,VP,-1,False=(1.0, 'quantity', 2.0)
place,Nac,Nad,NP,-1,False=(1.0, 'property', 5.0)
SoundQualityValue,Nac,VP좪ず,NP,-1,False=(1.0, 'predication', 1.0)
extraordinary,VH11,Dfa,VP,-1,True=(1.0, 'degree', 1.0)
doctor,Nv1,NP,NP,-1,False=(1.0, 'goal', 3.0)
army,Nab,A,NP,-1,False=(1.0, 'property', 2.0)
official,Nab,VC31,NP,-1,False=(1.0, 'property', 2.0)
LandVehicle,Nad,VC2,NP,-1,False=(1.0, 'property', 1.0)
direction,Nac,VC2,NP,-1,False=(1.0, 'property', 2.0)
sturdy,VH17,Td,S,1,False=(1.0, 'particle', 1.0)
joyful,VH21,P31,S,-1,False=(1.0, 'target', 1.0)
interesting,Nad,Neqa,NP,-1,False=(1.0, 'quantifier', 1.0)
time,Ndabf,Ndaba,NP,-1,False=(1.0, 'property', 2.0)
record,VA4,VH11,S,-1,False=(1.0, 'manner', 1.0)
machine,Nad,Ncb,NP,-1,False=(1.0, 'property', 1.0)
act,VC1,Nddb,S,-1,False=(1.0, 'time', 1.0)
act,VC2,DM,S,1,False=(1.0, 'goal', 3.0)
FateValue,Nac,DM,NP,-1,False=(1.0, 'quantifier', 1.0)
establish,VC31,P21,S,-1,False=(0.75, 'location', 3.0)|(0.25, 'time', 1.0)
attack,Nv1,A,NP,-1,False=(1.0, 'property', 2.0)
leave,VC1,Cbba,VP,-1,False=(0.5, 'reason', 1.0)|(0.5, 'concession', 1.0)
time,Nac,Nep,NP,-1,False=(1.0, 'quantifier', 2.0)
ability,Nad,Nad,NP,-1,False=(1.0, 'property', 25.0)
teach,VD1,P07,VP,-1,False=(1.0, 'theme', 1.0)
publish,VC31,P11,S,-1,False=(1.0, 'manner', 1.0)
reasonable,VH11,Dbaa,VP,-1,False=(1.0, 'epistemics', 5.0)
money,Naeb,Nca,NP,-1,False=(0.8, 'property', 4.0)|(0.2, 'possessor', 1.0)
welcome,VJ1,VP,VP,1,False=(1.0, 'complement', 3.0)
VieFor,VD2,Dh,VP,-1,False=(1.0, 'manner', 1.0)
PossibilityValue,VE12,Daa,VP,-1,False=(1.0, 'quantity', 2.0)
decide,VF1,NP,S,-1,False=(1.0, 'agent', 3.0)
expression,Nac,VP좪ず,NP,-1,False=(0.8, 'property', 4.0)|(0.2, 'predication', 1.0)
human,Nac,DM,NP,-1,True=(1.0, 'quantifier', 1.0)
compile,Naeb,Nac,NP,-1,False=(1.0, 'property', 1.0)
partner,Caa,VH11,V,1,False=(1.0, 'DUMMY2', 3.0)
provincial,Nba,VP좪ず,NP,-1,False=(1.0, 'predication', 1.0)
exist,VJ3,P08,S,-1,False=(1.0, 'topic', 1.0)
exist,V_2,Ta,VP,1,False=(1.0, 'particle', 26.0)
no-type,V,VP,S,1,False=(0.25, 'result', 1.0)|(0.25, 'goal', 1.0)|(0.25, 'complement', 1.0)|(0.25, 'addition', 1.0)
hold,Ncda,Nes,NP,-1,False=(1.0, 'quantifier', 4.0)
resume,VH16,NP,S,1,False=(1.0, 'theme', 9.0)
posture,Nad,VH11,NP,-1,False=(1.0, 'property', 2.0)
request,VE12,Cbba,S,-1,False=(1.0, 'concession', 1.0)
describe,VC31,NP,VP,1,False=(1.0, 'theme', 6.0)
institution,Nac,NP,NP,-1,True=(1.0, 'property', 1.0)
overt,VH16,Dc,VP,-1,False=(1.0, 'negation', 3.0)
handle,VC2,Neqa,S,-1,False=(1.0, 'quantity', 1.0)
build,VC33,P43,S,-1,False=(1.0, 'standard', 1.0)
AimAt,VC2,NP,VP,1,False=(1.0, 'goal', 7.0)
standard,P40,VP,PP,1,False=(1.0, 'DUMMY', 2.0)
SpeakingTime,Nddc,S좪ず,NP,-1,False=(1.0, 'property', 1.0)
overt,VH16,NP,S,1,False=(1.0, 'theme', 1.0)
talk,VE2,NP,VP,1,False=(1.0, 'goal', 1.0)
enjoy,VJ1,Dbab,VP,-1,False=(1.0, 'deontics', 4.0)
depend,VK2,S,S,1,False=(1.0, 'goal', 1.0)
QuantityPropertyValue,Neqa,DM,NP,-1,False=(1.0, 'property', 1.0)
fear,VK1,NP,S,-1,True=(1.0, 'experiencer', 1.0)
wave,Nv1,NP,NP,1,False=(1.0, 'goal', 1.0)
hold,VC31,Dh,S,-1,True=(1.0, 'manner', 1.0)
change,VH16,Dd,VP,-1,False=(1.0, 'evaluation', 1.0)
arrive,VC1,P24,VP,-1,False=(1.0, 'location', 2.0)
sturdy,VH11,Cbcb,VP,-1,False=(1.0, 'addition', 1.0)
decorate,Naeb,Ncdb,NP,-1,True=(1.0, 'property', 1.0)
exist,V_2,VP,VP,1,True=(0.7142857142857143, 'complement', 5.0)|(0.14285714285714285, 'range', 1.0)|(0.14285714285714285, 'conclusion', 1.0)
undergo,VK2,VH15,S,-1,False=(1.0, 'manner', 1.0)
act,Nad,Neqa,NP,-1,False=(1.0, 'quantifier', 10.0)
slanted,VJ1,NP,S,-1,False=(1.0, 'theme', 2.0)
communicate,Nad,VH11,NP,-1,False=(1.0, 'property', 1.0)
celestial,Nab,N좪ず,NP,-1,False=(0.9230769230769231, 'property', 12.0)|(0.07692307692307693, 'quantifier', 1.0)
order,Nab,Nca,NP,-1,False=(1.0, 'property', 1.0)
broad,VH11,Cbba,VP,-1,False=(1.0, 'reason', 1.0)
QuantityPropertyValue,Caa,Nv1,N,1,False=(1.0, 'DUMMY2', 12.0)
kill,VC2,Dbab,VP,-1,False=(0.7, 'deontics', 7.0)|(0.3, 'deixis', 3.0)
give,VA4,Dbab,VP,-1,False=(1.0, 'deontics', 1.0)
obtain,VC31,Dd,VP,-1,False=(1.0, 'time', 1.0)
equal,VC2,Ta,S,1,False=(1.0, 'particle', 3.0)
GoForward,VA11,Cbca,VP,-1,False=(1.0, 'contrast', 1.0)
village,Ncb,Nca,NP,-1,False=(1.0, 'property', 7.0)
alter,VC2,Nad,VP,-1,False=(1.0, 'time', 1.0)
CauseToDo,VL4,Ta,S,1,False=(1.0, 'particle', 1.0)
object,Naeb,DM,NP,-1,False=(1.0, 'quantifier', 2.0)
lack,VH11,Dd,VP,-1,False=(1.0, 'time', 1.0)
thing,Nad,Ncb,NP,-1,False=(1.0, 'property', 13.0)
capital,Nca,DM,NP,1,False=(1.0, 'quantifier', 2.0)
property,Nac,S좪ず,NP,-1,True=(1.0, 'predication', 1.0)
ThinkOf,Nv2,DE,NP,-1,False=(1.0, 'nominal', 4.0)
grow,VH12,Ndabc,S,-1,False=(1.0, 'time', 1.0)
sell,VL4,P49,VP,-1,False=(1.0, 'comparison', 1.0)
expel,VC1,NP,VP,1,False=(1.0, 'goal', 2.0)
equal,VH11,Dc,VP,-1,False=(1.0, 'negation', 9.0)
equal,VC1,NP,VP,1,False=(1.0, 'goal', 7.0)
time,Nad,DM,NP,-1,False=(0.9333333333333333, 'quantifier', 28.0)|(0.06666666666666667, 'property', 2.0)
QuantityPropertyValue,Caa,Ncda,Ncda,1,False=(1.0, 'DUMMY2', 9.0)
extreme,VE2,Dc,S,-1,False=(1.0, 'negation', 1.0)
pile,VC33,Ng,VP,-1,False=(1.0, 'time', 1.0)
BodyFluid,Naa,VH21,NP,-1,False=(1.0, 'property', 1.0)
equal,VJ1,NP,S,1,False=(1.0, 'goal', 4.0)
true,VH11,VP,VP,-1,False=(1.0, 'topic', 1.0)
win,VD2,Cbaa,S,-1,False=(1.0, 'epistemics', 1.0)
remove,VC31,Cbaa,S,-1,False=(1.0, 'reason', 1.0)
agree,VK1,VP,VP,1,False=(1.0, 'goal', 14.0)
ish,VG2,VA4,VP,1,False=(1.0, 'complement', 2.0)
obtain,VC2,Dd,S,-1,False=(1.0, 'time', 2.0)
succeed,VJ1,NP,VP,1,False=(1.0, 'goal', 2.0)
reject,VC31,NP,S,1,False=(1.0, 'theme', 1.0)
QuantityPropertyValue,Caa,Naa,NP,1,False=(1.0, 'DUMMY2', 1.0)
earn,VA4,Dbb,VP,-1,False=(1.0, 'evaluation', 1.0)
alike,VH11,P55,S,-1,False=(1.0, 'comparison', 1.0)
all,VC2,NP,S,-1,False=(1.0, 'agent', 2.0)
no-type,Nca,DM,NP,-1,False=(1.0, 'quantifier', 2.0)
ResultIn,VK2,P21,VP,-1,False=(1.0, 'location', 1.0)
pick,VC31,NP,S,1,False=(1.0, 'theme', 1.0)
disseminate,Nac,VP,NP,-1,False=(1.0, 'property', 1.0)
collect,VC2,Dc,VP,-1,False=(1.0, 'negation', 1.0)
welcome,VJ1,Dbab,S,1,False=(1.0, 'deixis', 1.0)
pretend,VA4,Dbaa,S,-1,False=(1.0, 'epistemics', 1.0)
sweet,VH11,Dbaa,S,-1,False=(1.0, 'epistemics', 1.0)
severe,VH11,NP,S,-1,False=(1.0, 'theme', 3.0)
worried,VH11,Dfa,S,-1,False=(1.0, 'degree', 4.0)
flow,VA11,Ndaaa,S,1,False=(1.0, 'time', 1.0)
check,VE2,Tc,S,1,False=(1.0, 'particle', 1.0)
facilities,Naeb,Nes,NP,-1,True=(1.0, 'quantifier', 1.0)
build,Nac,NP좪ず,NP,-1,False=(1.0, 'property', 1.0)
forgive,VJ1,NP,VP,1,False=(1.0, 'goal', 1.0)
ResultIn,VK2,Cbba,S,-1,False=(0.5, 'hypothesis', 1.0)|(0.5, 'concession', 1.0)
alter,VC2,Cbca,S,-1,True=(1.0, 'contrast', 1.0)
beautiful,Nab,NP,NP,-1,False=(1.0, 'property', 1.0)
PayAttention,VE2,VP,VP,1,False=(1.0, 'goal', 2.0)
QuantityPropertyValue,Caa,Naa,Nab,1,False=(1.0, 'DUMMY2', 1.0)
pass,VC2,VH11,VP,-1,False=(1.0, 'manner', 1.0)
willing,VK1,Tc,S,1,False=(1.0, 'particle', 2.0)
partner,Caa,Nv4,Nv4,1,False=(1.0, 'DUMMY2', 22.0)
take,VC31,Cbba,VP,-1,False=(1.0, 'hypothesis', 1.0)
act,VD1,Dd,S,-1,False=(1.0, 'time', 6.0)
ripe,VH11,Dd,S,-1,False=(1.0, 'time', 2.0)
city,Ncb,A,NP,-1,False=(1.0, 'property', 1.0)
accidental,VK1,VP,VP,1,False=(1.0, 'goal', 2.0)
SportTool,Nac,Ncb,NP,-1,False=(1.0, 'property', 2.0)
PayAttention,Nv3,NP좪ず,NP,-1,False=(1.0, 'property', 1.0)
protest,Nv1,NP,NP,-1,True=(1.0, 'agent', 1.0)
praise,VC2,Ta,VP,1,False=(1.0, 'particle', 1.0)
ResultIn,VG1,Dbb,VP,-1,False=(1.0, 'evaluation', 1.0)
PutOn,VC31,NP,S,1,False=(0.8571428571428571, 'theme', 6.0)|(0.14285714285714285, 'goal', 1.0)
engage,VC31,Dh,VP,-1,False=(1.0, 'manner', 9.0)
hesitate,Nv2,DE,NP,-1,False=(1.0, 'nominal', 1.0)
bear,VA4,NP,S,-1,True=(1.0, 'topic', 1.0)
process,Nac,VC2,GP,-1,False=(1.0, 'property', 1.0)
grow,VI2,NP,S,-1,False=(1.0, 'theme', 5.0)
ThinkOf,VE2,켹좪V,S,1,False=(1.0, 'complement', 2.0)
recreation,VA4,Dbaa,S,-1,False=(1.0, 'epistemics', 1.0)
cherish,Nab,NP좪ず,NP,-1,False=(1.0, 'property', 1.0)
act,VC32,Dbb,VP,-1,False=(1.0, 'evaluation', 2.0)
compete,Nad,Nad,NP,-1,False=(1.0, 'property', 3.0)
spread,VC33,NP,S,1,False=(1.0, 'theme', 5.0)
guide,Nab,VH11,NP,-1,False=(1.0, 'property', 1.0)
stay,VA12,NP,VP,1,False=(0.6666666666666666, 'location', 2.0)|(0.3333333333333333, 'duration', 1.0)
remember,VE2,Dd,VP,-1,False=(1.0, 'time', 3.0)
TimeLong,VH11,Cbba,S,-1,False=(0.5, 'hypothesis', 2.0)|(0.25, 'reason', 1.0)|(0.25, 'concession', 1.0)
rate,Nad,DM,NP,-1,False=(1.0, 'quantifier', 1.0)
important,Nv4,VP,NP,-1,False=(1.0, 'property', 1.0)
surname,Nab,Nhaa,NP,-1,False=(1.0, 'property', 2.0)
extreme,VG2,Dbb,S,-1,False=(1.0, 'evaluation', 1.0)
act,VC1,Nddc,S,-1,False=(1.0, 'time', 3.0)
lighting,VC2,Dbab,VP,-1,False=(1.0, 'deontics', 1.0)
ComeTogether,VH14,Nddc,S,-1,False=(1.0, 'time', 1.0)
cause,Caa[P1],VP,VP,1,False=(0.5, 'DUMMY2', 8.0)|(0.5, 'DUMMY1', 8.0)
QuantityPropertyValue,Caa,VE2,VP,1,False=(1.0, 'DUMMY2', 1.0)
lack,VH13,Dh,S,1,False=(1.0, 'manner', 1.0)
partner,Caa,VC31,V,-1,False=(1.0, 'DUMMY1', 1.0)
MakeWorried,VC2,DM,S,-1,False=(1.0, 'frequency', 1.0)
do,VC31,P37,S,-1,False=(1.0, 'benefactor', 1.0)
PassOn,VC33,Dbab,VP,-1,False=(1.0, 'deontics', 2.0)
constant,VH16,A,VP,-1,False=(1.0, 'manner', 1.0)
float,VA11,NP,VP,1,False=(1.0, 'theme', 1.0)
FrequencyValue,Caa,VH13,V,-1,False=(1.0, 'DUMMY1', 1.0)
obtain,VC2,P11,S,-1,False=(1.0, 'manner', 1.0)
GoInto,VC1,Ng,VP,-1,False=(1.0, 'time', 7.0)
own,Neqa,Daa,NP,-1,False=(1.0, 'quantity', 1.0)
protect,VC2,NP,VP,1,False=(1.0, 'goal', 47.0)
build,VC31,Naa,VP,-1,False=(1.0, 'instrument', 1.0)
forget,VK1,Dbab,VP,-1,False=(1.0, 'deontics', 24.0)
QuantityValue,Neqa,Ncb,NP,-1,False=(1.0, 'property', 4.0)
give,VD1,Dk,VP,-1,False=(1.0, 'evaluation', 2.0)
wash,VC2,VP,VP,1,False=(1.0, 'complement', 1.0)
regard,VC2,Cbba,VP,-1,False=(1.0, 'concession', 1.0)
human,Nab,NP,NP,1,False=(1.0, 'quantifier', 18.0)
contain,VC33,Dab,S,-1,False=(1.0, 'quantity', 1.0)
Ques,VH11,Ta,S,1,False=(1.0, 'particle', 2.0)
exist,VH14,NP,S,1,False=(0.9230769230769231, 'theme', 12.0)|(0.07692307692307693, 'location', 1.0)
incur,VC31,Daa,VP,-1,False=(1.0, 'quantity', 1.0)
fulfil,VC31,Di,VP,1,False=(1.0, 'aspect', 9.0)
exposure,VH14,Nddc,VP,-1,False=(1.0, 'time', 1.0)
addition,Caa,VH16,V,1,False=(1.0, 'DUMMY2', 1.0)
fly,VC1,NP,VP,1,False=(0.6666666666666666, 'goal', 2.0)|(0.3333333333333333, 'range', 1.0)
build,Naeb,VH11,NP,-1,False=(1.0, 'property', 3.0)
perception,VK1,Tc,VP,1,False=(1.0, 'particle', 1.0)
select,VH11,VH11,S,-1,False=(1.0, 'manner', 1.0)
bad,VH11,Dbb,VP,-1,False=(1.0, 'evaluation', 1.0)
ship,Nab,Nab,NP,-1,False=(1.0, 'property', 7.0)
QuantityPropertyValue,Caa,Neu,Neu,-1,True=(1.0, 'DUMMY1', 2.0)
think,VE2,P07,S,-1,False=(1.0, 'theme', 1.0)
InstitutePlace,Ncb,Nhab,NP,-1,False=(0.7142857142857143, 'property', 10.0)|(0.2857142857142857, 'possessor', 4.0)
excite,VH21,Dab,S,-1,False=(1.0, 'quantity', 1.0)
compete,VA4,P21,S,-1,False=(0.5, 'location', 1.0)|(0.5, 'condition', 1.0)
DimensionValue,VC33,Dbb,S,-1,False=(1.0, 'evaluation', 1.0)
head,Nac,DM,NP,-1,False=(1.0, 'quantifier', 1.0)
reply,VA4,P21,VP,-1,False=(1.0, 'location', 1.0)
capital,Ncb,Nddc,NP,-1,False=(1.0, 'property', 1.0)
engage,VC2,Cbca,VP,-1,True=(1.0, 'result', 1.0)
QuantityPropertyValue,Neqa,Nhaa,NP,-1,False=(1.0, 'apposition', 1.0)
NULL,VD2,NP,S,-1,True=(1.0, 'goal', 1.0)
difficult,Nac,VP좪ず,NP,-1,False=(0.8, 'property', 4.0)|(0.2, 'predication', 1.0)
human,Naeb,NP,NP,-1,False=(0.8461538461538461, 'property', 11.0)|(0.07692307692307693, 'quantifier', 1.0)|(0.07692307692307693, 'apposition', 1.0)
prosper,Nv4,Cbba,NP,-1,False=(1.0, 'reason', 1.0)
guarantee,VE2,Cbca,VP,-1,False=(0.6666666666666666, 'purpose', 2.0)|(0.3333333333333333, 'contrast', 1.0)
machine,Nac,Nep,NP,-1,False=(1.0, 'quantifier', 7.0)
influence,VC2,VH11,S,-1,False=(1.0, 'manner', 1.0)
fashionable,VH14,Nca,VP,1,False=(1.0, 'location', 1.0)
satisfied,VH22,Cbca,S,-1,False=(1.0, 'contrast', 1.0)
lose,VC32,Dd,VP,-1,False=(1.0, 'time', 1.0)
come,VA11,VP,S,1,False=(1.0, 'complement', 2.0)
be,V_11,VP,VP,1,False=(0.9285714285714286, 'range', 182.0)|(0.061224489795918366, 'complement', 12.0)|(0.00510204081632653, 'theme', 1.0)|(0.00510204081632653, 'result', 1.0)
true,VH11,Dbaa,VP,-1,False=(1.0, 'epistemics', 1.0)
land,Daa,DM,NP,-1,False=(1.0, 'quantifier', 1.0)
lift,VE2,Dbab,VP,-1,False=(0.75, 'deontics', 3.0)|(0.25, 'deixis', 1.0)
propose,VC31,Dh,S,-1,False=(1.0, 'manner', 1.0)
damage,VC2,P61,VP,1,False=(1.0, 'condition', 1.0)
GoOn,VL2,Dbb,S,-1,False=(1.0, 'evaluation', 3.0)
facilities,Nac,VP좪ず,NP,-1,False=(0.5, 'property', 2.0)|(0.5, 'predication', 2.0)
wait,VC2,Dj,S,-1,False=(1.0, 'reason', 1.0)
farewell,Nv1,DM,NP,-1,False=(1.0, 'property', 1.0)
reside,VC1,VH11,S,1,False=(0.6666666666666666, 'duration', 2.0)|(0.3333333333333333, 'complement', 1.0)
color,Nad,S좪ず,NP,-1,False=(1.0, 'property', 1.0)
institution,Naea,N좪ず,NP,-1,False=(1.0, 'property', 1.0)
obtain,VI2,NP,S,-1,False=(1.0, 'goal', 1.0)
block,VC2,VH11,VP,-1,False=(1.0, 'manner', 2.0)
predict,VE2,Tc,S,1,False=(1.0, 'particle', 1.0)
wind,Naa,VH11,NP,-1,False=(1.0, 'property', 3.0)
place,Ncc,VP좪ず,NP,-1,False=(1.0, 'property', 2.0)
bitter,VH11,Dab,VP,-1,False=(1.0, 'quantity', 1.0)
act,VK2,NP,S,1,False=(1.0, 'goal', 2.0)
important,VH11,Dfa,S,-1,False=(1.0, 'degree', 29.0)
CauseToGrow,VC2,VH11,S,-1,False=(1.0, 'manner', 2.0)
high,VH13,VH11,VP,-1,False=(1.0, 'manner', 1.0)
China,Nca,VH13,NP,-1,False=(1.0, 'property', 2.0)
hot,VH16,VP,VP,1,False=(1.0, 'complement', 1.0)
meet,VK2,Di,S,1,False=(1.0, 'aspect', 1.0)
assemble,VC33,P21,VP,-1,False=(0.5, 'location', 1.0)|(0.5, 'condition', 1.0)
cease,VC2,Dd,S,-1,True=(1.0, 'time', 1.0)
attack,Nv1,DE,NP,-1,False=(1.0, 'nominal', 12.0)
cause,Nac,Nhab,NP,-1,False=(1.0, 'possessor', 1.0)
start,VA13,Dd,VP,-1,False=(0.8571428571428571, 'time', 6.0)|(0.14285714285714285, 'duration', 1.0)
help,Nv1,VP,NP,-1,True=(1.0, 'goal', 1.0)
study,VC2,P62,S,-1,False=(1.0, 'goal', 3.0)
equal,VA4,Dbab,VP,-1,False=(1.0, 'deontics', 1.0)
community,Nab,Ncb,NP,-1,True=(1.0, 'property', 1.0)
be,VG2,Dg,S,-1,False=(1.0, 'location', 1.0)
big,Nac,Nca,NP,-1,False=(1.0, 'property', 1.0)
speaker,Nab,VH11,NP,-1,False=(1.0, 'property', 1.0)
few,VH11,Cbba,S,-1,False=(1.0, 'reason', 4.0)
sorrowful,Nac,A좪ず,NP,-1,False=(1.0, 'property', 1.0)
flow,VC1,Dd,VP,-1,False=(1.0, 'time', 1.0)
lack,VH12,Nddc,S,-1,False=(1.0, 'time', 1.0)
coupon,Nab,Nad,NP,-1,False=(1.0, 'property', 3.0)
sufficient,VH11,Dd,S,-1,False=(1.0, 'time', 1.0)
